t,x_m,y_m
1788014246.9866714,0.0,0.0
1788014247.0810745,0.0,0.0
1788014247.2052488,0.0,0.0
1788014247.2827125,0.0,0.0
1788014247.3843486,0.0,0.0
1788014247.4800842,0.0,0.0
1788014247.5814035,0.0,0.0
1788014247.7061503,0.0,0.0
1788014247.7850025,0.0,0.0
1788014247.8845377,0.0,0.0
1788014247.9819968,0.0,0.0
1788014248.082369,0.0,0.0
1788014248.200972,0.0,0.0
1788014248.2875626,0.0,0.0
1788014248.3869352,0.0,0.0
1788014248.4867785,0.0,0.0
1788014248.5866787,0.0,0.0
1788014248.6925192,0.0,0.0
1788014248.782177,0.0,0.0
1788014248.8800907,0.0,0.0
1788014248.9801705,0.0,0.0
1788014249.0843866,0.0,0.0
1788014249.204296,0.0,0.0
1788014249.2833388,0.0,0.0
1788014249.3834815,0.0,0.0
1788014249.4820886,0.0,0.0
1788014249.5819356,0.0,0.0
1788014249.6969106,0.0,0.0
1788014249.782754,0.0,0.0
1788014249.8870995,0.0,0.0
1788014249.9820082,0.0,0.0
1788014250.087234,0.0,0.0
1788014250.1971846,0.0,0.0
1788014250.2871132,0.0,0.0
1788014250.3870857,0.0,0.0
1788014250.4869823,0.0,0.0
1788014250.5870974,0.0,0.0
1788014250.7025812,0.0,0.0
1788014250.7842448,0.0,0.0
1788014250.8844287,0.0,0.0
1788014250.9839213,0.0,0.0
1788014251.0841546,0.0,0.0
1788014251.1961155,0.0,0.0
1788014251.2807837,0.0,0.0
1788014251.3819497,0.0,0.0
1788014251.4831178,0.0,0.0
1788014251.5830238,0.0,0.0
1788014251.7009342,0.0,0.0
1788014251.782035,0.0,0.0
1788014251.8868356,0.0,0.0
1788014251.986172,0.0,0.0
1788014252.0879197,0.0,0.0
1788014252.198521,0.0,0.0
1788014252.2861977,0.0,0.0
1788014252.38707,0.0,0.0
1788014252.487562,0.0,0.0
1788014252.5833497,0.0,0.0
1788014252.699184,0.0,0.0
1788014252.7842395,0.0,0.0
1788014252.8846045,0.0,0.0
1788014252.9854834,0.0,0.0
1788014253.0849032,0.0,0.0
1788014253.2056968,0.0,0.0
1788014253.2812855,0.0,0.0
1788014253.3803551,0.0,0.0
1788014253.480436,0.0,0.0
1788014253.5800648,0.0,0.0
1788014253.6849935,0.0,0.0
1788014253.781686,0.0,0.0
1788014253.8827906,0.0,0.0
1788014253.9883368,0.0,0.0
1788014254.0866303,0.0,0.0
1788014254.2106693,0.0,0.0
1788014254.2837117,0.0,0.0
1788014254.387558,0.0,0.0
1788014254.4859846,0.0,0.0
1788014254.5845237,0.0,0.0
1788014254.707276,0.0,0.0
1788014254.7834167,0.0,0.0
1788014254.8868003,0.0,0.0
1788014254.9874551,0.0,0.0
1788014255.0861404,0.0,0.0
1788014255.206062,0.0,0.0
1788014255.2856026,0.0,0.0
1788014255.3813007,0.0,0.0
1788014255.486369,0.0,0.0
1788014255.582958,0.0,0.0
1788014255.7082944,0.0,0.0
1788014255.7835996,0.0,0.0
1788014255.8822925,0.0,0.0
1788014255.9814315,0.0,0.0
1788014256.0887747,0.0,0.0
1788014256.2158391,0.0,0.0
1788014256.286862,0.0,0.0
1788014256.3849766,0.0,0.0
1788014256.4849143,0.0,0.0
1788014256.58699,0.0,0.0
1788014256.7046528,0.0,0.0
1788014257.1309843,0.0,0.0
1788014257.159206,0.0,0.0
1788014257.231083,0.0,0.0
1788014257.330273,0.0,0.0
1788014257.4503584,0.0,0.0
1788014257.531833,0.0,0.0
1788014257.6298394,0.0,0.0
1788014257.7341397,0.0,0.0
1788014257.8339643,0.0,0.0
1788014257.9488282,0.0,0.0
1788014258.0294902,0.0,0.0
1788014258.1309023,0.0,0.0
1788014258.2325256,0.0,0.0
1788014258.3298802,0.0,0.0
1788014258.4583545,0.0,0.0
1788014258.531889,0.0,0.0
1788014258.6342075,0.0,0.0
1788014258.7311704,0.0,0.0
1788014258.8299856,0.0,0.0
1788014258.9568198,0.0,0.0
1788014259.0327728,0.0,0.0
1788014259.1297896,0.0,0.0
1788014259.2323637,0.0,0.0
1788014259.330436,0.0,0.0
1788014259.4566302,0.0,0.0
1788014259.5319543,0.0,0.0
1788014259.6322155,0.0,0.0
1788014259.7332897,0.0,0.0
1788014259.8331647,0.0,0.0
1788014259.951199,0.0,0.0
1788014260.0336745,0.0,0.0
1788014260.1346395,0.0,0.0
1788014260.2301042,0.0,0.0
1788014260.3298793,0.0,0.0
1788014260.4620152,0.0,0.0
1788014260.5333917,0.0,0.0
1788014260.630201,0.0,0.0
1788014260.7290764,0.0,0.0
1788014260.8335104,0.0,0.0
1788014260.934055,0.0,0.0
1788014261.031922,0.0,0.0
1788014261.1311214,0.0,0.0
1788014261.2303555,0.0,0.0
1788014261.3295248,0.0,0.0
1788014261.4383512,0.0,0.0
1788014261.531199,0.0,0.0
1788014261.6351206,0.0,0.0
1788014261.7310033,0.0,0.0
1788014261.830758,0.0,0.0
1788014261.9426205,0.0,0.0
1788014262.0329378,0.0,0.0
1788014262.13229,0.0,0.0
