t,true_x_m,true_y_m,spoofed_x_m,spoofed_y_m,is_spoofed
1790036648.2660954,0.0,0.0,0.0,0.0,0
1790036648.275533,0.0,0.0,0.0,0.0,0
1790036648.366503,0.0,0.0,0.0,0.0,0
1790036648.4689806,0.0,0.0,0.0,0.0,0
1790036648.567147,0.0,0.0,0.0,0.0,0
1790036648.669165,0.0,0.0,0.0,0.0,0
1790036648.7709467,0.0,0.0,0.0,0.0,0
1790036648.8714266,0.0,0.0,0.0,0.0,0
1790036648.969717,0.0,0.0,0.0,0.0,0
1790036649.0708375,0.0,0.0,0.0,0.0,0
1790036649.1718187,0.0,0.0,0.0,0.0,0
1790036649.271939,0.0,0.0,0.0,0.0,0
1790036649.367227,0.0,0.0,0.0,0.0,0
1790036649.4696202,0.0,0.0,0.0,0.0,0
1790036649.569533,0.0,0.0,0.0,0.0,0
1790036649.6697333,0.0,0.0,0.0,0.0,0
1790036649.769737,0.0,0.0,0.0,0.0,0
1790036649.8696542,0.0,0.0,0.0,0.0,0
1790036649.9706306,0.0,0.0,0.0,0.0,0
1790036650.0683606,0.0,0.0,0.0,0.0,0
1790036650.1716187,0.0,0.0,0.0,0.0,0
1790036650.2680628,0.0,0.0,0.0,0.0,0
1790036650.3694675,0.0,0.0,0.0,0.0,0
1790036650.4694655,0.0,0.0,0.0,0.0,0
1790036650.5695004,0.0,0.0,0.0,0.0,0
1790036650.669376,0.0,0.0,0.0,0.0,0
1790036650.7702422,0.0,0.0,0.0,0.0,0
1790036650.870611,0.0,0.0,0.0,0.0,0
1790036650.9716575,0.0,0.0,0.0,0.0,0
1790036651.0726786,0.0,0.0,0.0,0.0,0
1790036651.1717606,0.0,0.0,0.0,0.0,0
1790036651.2687497,0.0,0.0,0.0,0.0,0
1790036651.3690274,0.0,0.0,0.0,0.0,0
1790036651.4687223,0.0,0.0,0.0,0.0,0
1790036651.6300025,0.0,0.0,0.0,0.0,0
1790036652.0497358,0.0,0.0,0.0,0.0,0
1790036652.0601604,0.0,0.0,0.0,0.0,0
1790036652.1516843,0.0,0.0,0.0,0.0,0
1790036652.2481525,0.0,0.0,0.0,0.0,0
1790036652.3489754,0.0,0.0,0.0,0.0,0
1790036652.448084,0.0,0.0,0.0,0.0,0
1790036652.5473557,0.0,0.0,0.0,0.0,0
1790036652.6463916,0.0,0.0,0.0,0.0,0
1790036652.749579,0.0,0.0,0.0,0.0,0
1790036652.8498707,0.0,0.0,0.0,0.0,0
1790036652.9516068,0.0,0.0,0.0,0.0,0
1790036653.0524497,0.0,0.0,0.0,0.0,0
1790036653.1542716,0.0,0.0,0.0,0.0,0
1790036653.248114,0.0,0.0,0.0,0.0,0
1790036653.349941,0.0,0.0,0.0,0.0,0
1790036653.451861,0.0,0.0,0.0,0.0,0
1790036653.551844,0.0,0.0,0.0,0.0,0
1790036653.6535046,0.0,0.0,0.0,0.0,0
1790036653.7480474,0.0,0.0,0.0,0.0,0
1790036653.8485956,0.0,0.0,0.0,0.0,0
1790036653.9483635,0.0,0.0,0.0,0.0,0
1790036654.0522182,0.0,0.0,0.0,0.0,0
1790036654.1582642,0.0,0.0,0.0,0.0,0
1790036654.2508166,0.0,0.0,0.0,0.0,0
1790036654.3484216,0.0,0.0,0.0,0.0,0
1790036654.4515653,0.0,0.0,0.0,0.0,0
1790036654.5475056,0.0,0.0,0.0,0.0,0
1790036654.653679,0.0,0.0,0.0,0.0,0
1790036654.750868,0.0,0.0,0.0,0.0,0
1790036654.8476615,0.0,0.0,0.0,0.0,0
1790036654.9500277,0.0,0.0,0.0,0.0,0
1790036655.0516222,0.0,0.0,0.0,0.0,0
1790036655.150918,0.0,0.0,0.0,0.0,0
1790036655.2519882,0.0,0.0,0.0,0.0,0
1790036655.353085,0.0,0.0,0.0,0.0,0
1790036655.449675,0.0,0.0,0.0,0.0,0
1790036655.552126,0.0,0.0,0.0,0.0,0
1790036655.6523614,0.0,0.0,0.0,0.0,0
1790036655.7521744,0.0,0.0,0.0,0.0,0
1790036655.848516,0.0,0.0,0.0,0.0,0
1790036655.9503856,0.0,0.0,0.0,0.0,0
1790036656.050763,0.0,0.0,0.0,0.0,0
1790036656.1559937,0.0,0.0,0.0,0.0,0
1790036656.2510078,0.0,0.0,0.0,0.0,0
1790036656.3485534,0.0,0.0,0.0,0.0,0
1790036656.450017,0.0,0.0,0.0,0.0,0
1790036656.550007,0.0,0.0,0.0,0.0,0
1790036656.6502907,0.0,0.0,0.0,0.0,0
1790036656.7504752,0.0,0.0,0.0,0.0,0
1790036656.8528368,0.0,0.0,0.0,0.0,0
1790036656.949375,0.0,0.0,0.0,0.0,0
1790036657.0503528,0.0,0.0,0.0,0.0,0
1790036657.1504078,0.0,0.0,0.0,0.0,0
1790036657.2524288,0.0,0.0,0.0,0.0,0
1790036657.3533072,0.0,0.0,0.0,0.0,0
1790036657.450063,0.0,0.0,0.0,0.0,0
1790036657.550995,0.0,0.0,0.0,0.0,0
1790036657.6536229,0.0,0.0,0.0,0.0,0
1790036657.7483516,0.0,0.0,0.0,0.0,0
1790036657.8503196,0.0,0.0,0.0,0.0,0
1790036657.9533474,0.0,0.0,0.0,0.0,0
1790036658.0485368,0.0,0.0,0.0,0.0,0
1790036658.1505964,0.0,0.0,0.0,0.0,0
1790036658.2506258,0.0,0.0,0.0,0.0,0
1790036658.352566,0.0,0.0,0.0,0.0,0
1790036658.449656,0.0,0.0,0.0,0.0,0
1790036658.5493762,0.0,0.0,0.0,0.0,0
1790036658.65565,0.0,0.0,0.0,0.0,0
1790036658.749525,0.0,0.0,0.0,0.0,0
1790036658.849123,0.0,0.0,0.0,0.0,0
1790036658.9486806,0.0,0.0,0.0,0.0,0
1790036659.0518825,0.0,0.0,0.0,0.0,0
1790036659.1582754,0.0,0.0,0.0,0.0,0
1790036659.2523592,0.0,0.0,0.0,0.0,0
1790036659.349542,0.0,0.0,0.0,0.0,0
1790036659.44963,0.0,0.0,0.0,0.0,0
1790036659.5493455,0.0,0.0,0.0,0.0,0
1790036659.6484609,0.0,0.0,0.0,0.0,0
1790036659.7482362,0.0,0.0,0.0,0.0,0
1790036659.8484282,0.0,0.0,0.0,0.0,0
1790036659.9529598,0.0,0.0,0.0,0.0,0
1790036660.052861,0.0,0.0,0.0,0.0,0
1790036660.1520612,0.0,0.0,0.0,0.0,0
1790036660.2515466,0.0,0.0,0.0,0.0,0
1790036660.352661,-0.0090784491367096,0.0,-0.0090784491367096,0.0,0
1790036660.448495,-0.0090784491367096,0.0111320001300896,-0.0090784491367096,0.0111320001300896,0
1790036660.5515766,-0.0090784491367096,0.0111320001300896,-0.0090784491367096,0.0111320001300896,0
1790036660.652863,-0.0090784491367096,0.0111320001300896,-0.0090784491367096,0.0111320001300896,0
1790036660.7512145,-0.0090784491367096,0.0111320001300896,-0.0090784491367096,0.0111320001300896,0
1790036660.8514917,-0.0090784491367096,0.0111320001300896,-0.0090784491367096,0.0111320001300896,0
1790036660.953547,-0.0090784491367096,0.0111320001300896,-0.0090784491367096,0.0111320001300896,0
1790036661.053403,-0.0090784491367096,0.0111320001300896,-0.0090784491367096,0.0111320001300896,0
1790036661.1553006,-0.0090784491367096,0.0111320001300896,-0.0090784491367096,0.0111320001300896,0
1790036661.250214,-0.0090784491367096,0.0111320001300896,-0.0090784491367096,0.0111320001300896,0
1790036661.3498733,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
1790036661.4489572,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
1790036661.5526242,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
1790036661.6585732,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
1790036661.7528062,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
1790036661.8530254,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
1790036661.953393,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
1790036662.0539825,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
1790036662.155182,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
1790036662.2544303,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
1790036662.3497114,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
1790036662.450676,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
1790036662.5503306,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
1790036662.6564636,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
1790036662.750245,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
1790036662.850258,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
1790036662.9509077,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
1790036663.051629,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
1790036663.152906,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
1790036663.2510722,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
1790036663.3517585,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
1790036663.4532013,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
1790036663.5539052,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
1790036663.65768,-0.0090784491367096,0.0222640002601792,-0.0090784491367096,0.0222640002601792,0
