t,gps_x,gps_y,dr_x,dr_y,fused_x,fused_y,trust_weight,is_spoofed
1790037063.3456128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037063.3519042,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037063.446621,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037063.5480323,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037063.6493504,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037063.7509346,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037063.851603,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037063.9506872,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037064.0515363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037064.148419,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037064.2492282,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037064.3491957,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037064.4491944,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037064.550712,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037064.6513076,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037064.751239,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037064.8466437,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037064.9475586,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037065.048064,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037065.1479175,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037065.250919,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037065.3478067,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037065.449336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037065.5498009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037065.6504865,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037065.750325,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037065.8506966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037065.9506574,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037066.0517726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037066.1473477,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037066.2492783,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037066.349584,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037066.4496727,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037066.5502748,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037066.651139,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037066.747012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037066.8519597,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037066.9490087,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037067.0494654,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037067.1500623,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037067.251081,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037067.3486257,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037067.451024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037067.550127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037067.6502442,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037067.75082,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037067.851007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037067.9523168,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037068.0474498,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037068.1490552,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037068.2496417,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037068.350626,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037068.4519942,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037068.547895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037068.649377,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037068.7507913,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037068.851586,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037068.948702,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1790037069.049306,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
