t,x_m,y_m
1790035351.0892425,0.0,0.0
1790035351.0930889,0.0,0.0
1790035351.1920943,0.0,0.0
1790035351.291295,0.0,0.0
1790035351.3905492,0.0,0.0
1790035351.495113,0.0,0.0
1790035351.594328,0.0,0.0
1790035351.6936014,0.0,0.0
1790035351.792723,0.0,0.0
1790035351.8919504,0.0,0.0
1790035351.9910252,0.0,0.0
1790035352.0956514,0.0,0.0
1790035352.195015,0.0,0.0
1790035352.294101,0.0,0.0
1790035352.3940427,0.0,0.0
1790035352.4954855,0.0,0.0
1790035352.5953724,0.0,0.0
1790035352.6955297,0.0,0.0
1790035352.7962348,0.0,0.0
1790035352.8919568,0.0,0.0
1790035352.9954152,0.0,0.0
1790035353.0947747,0.0,0.0
1790035353.1938305,0.0,0.0
1790035353.29379,0.0,0.0
1790035353.392933,0.0,0.0
1790035353.4921217,0.0,0.0
1790035353.5913606,0.0,0.0
1790035353.6908278,0.0,0.0
1790035353.7905135,0.0,0.0
1790035353.8949535,0.0,0.0
1790035353.9942603,0.0,0.0
1790035354.0934916,0.0,0.0
1790035354.1927242,0.0,0.0
1790035354.2918808,0.0,0.0
1790035354.391016,0.0,0.0
1790035354.49109,0.0,0.0
1790035354.5957673,0.0,0.0
1790035354.6950006,0.0,0.0
1790035354.7941346,0.0,0.0
1790035354.8942351,0.0,0.0
1790035354.9932396,0.0,0.0
1790035355.0923522,0.0,0.0
1790035355.1915703,0.0,0.0
1790035355.2907443,0.0,0.0
1790035355.395363,0.0,0.0
1790035355.494603,0.0,0.0
1790035355.5938804,0.0,0.0
1790035355.6929572,0.0,0.0
1790035355.7922106,0.0,0.0
1790035355.891215,0.0,0.0
1790035355.9960427,0.0,0.0
1790035356.0954528,0.0,0.0
1790035356.194514,0.0,0.0
1790035356.294508,0.0,0.0
1790035356.3942878,0.0,0.0
1790035356.4934456,0.0,0.0
1790035356.592917,0.0,0.0
1790035356.6919165,0.0,0.0
1790035356.791078,0.0,0.0
1790035356.8956034,0.0,0.0
1790035356.994953,0.0,0.0
1790035357.0941284,0.0,0.0
1790035357.1933143,0.0,0.0
1790035357.2924695,0.0,0.0
1790035357.3917017,0.0,0.0
1790035357.4910576,0.0,0.0
1790035357.5954564,0.0,0.0
1790035357.6949415,0.0,0.0
1790035357.7939134,0.0,0.0
1790035357.892949,0.0,0.0
1790035357.9924395,0.0,0.0
1790035358.091536,0.0,0.0
1790035358.196124,0.0,0.0
1790035358.2953072,0.0,0.0
1790035358.394521,0.0,0.0
1790035358.493713,0.0,0.0
1790035358.5930977,0.0,0.0
1790035358.692705,0.0,0.0
